BATTLE_TYPE_DOUBLE	ABSENT	1 << 0	
BATTLE_TYPE_LINK	ABSENT	1 << 1	
BATTLE_TYPE_WILD	ABSENT	1 << 2	
BATTLE_TYPE_TRAINER	ABSENT	1 << 3	
BATTLE_TYPE_FIRST_BATTLE	ABSENT	1 << 4	
BATTLE_TYPE_LINK_IN_BATTLE	ABSENT	1 << 5	
BATTLE_TYPE_MULTI	ABSENT	1 << 6	
BATTLE_TYPE_SAFARI	ABSENT	1 << 7	
BATTLE_TYPE_BATTLE_TOWER	ABSENT	1 << 8	
BATTLE_TYPE_WALLY_TUTORIAL	ABSENT	1 << 9	
BATTLE_TYPE_ROAMER	ABSENT	1 << 10	
BATTLE_TYPE_EREADER_TRAINER	ABSENT	1 << 11	
BATTLE_TYPE_KYOGRE_GROUDON	ABSENT	1 << 12	
BATTLE_TYPE_LEGENDARY	ABSENT	1 << 13	
BATTLE_TYPE_REGI	ABSENT	1 << 14	
BATTLE_TYPE_TWO_OPPONENTS	ABSENT	1 << 15	
BATTLE_TYPE_DOME	ABSENT	1 << 16	
BATTLE_TYPE_PALACE	ABSENT	1 << 17	
BATTLE_TYPE_ARENA	ABSENT	1 << 18	
BATTLE_TYPE_FACTORY	ABSENT	1 << 19	
BATTLE_TYPE_PIKE	ABSENT	1 << 20	
BATTLE_TYPE_PYRAMID	ABSENT	1 << 21	
BATTLE_TYPE_INGAME_PARTNER	ABSENT	1 << 22	
BATTLE_TYPE_TOWER_LINK_MULTI	ABSENT	1 << 23	
BATTLE_TYPE_RECORDED	ABSENT	1 << 24	
BATTLE_TYPE_RECORDED_LINK	ABSENT	1 << 25	
BATTLE_TYPE_TRAINER_HILL	ABSENT	1 << 26	
BATTLE_TYPE_SECRET_BASE	ABSENT	1 << 27	
BATTLE_TYPE_GROUDON	ABSENT	1 << 28	
BATTLE_TYPE_KYOGRE	ABSENT	1 << 29	
BATTLE_TYPE_RAYQUAZA	ABSENT	1 << 30	
BATTLE_TYPE_RECORDED_IS_MASTER	ABSENT	1 << 31	
